manufacturer,family,base_device,icpn,marketing_status,source_url,observed_at,authority
STMicroelectronics,STM32U3,STM32U375VE,STM32U375VEI6TR,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u375ve.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U375VE,STM32U375VET6,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u375ve.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U375VE,STM32U375VET6Q,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u375ve.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U375VE,STM32U375VET6QTR,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u375ve.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U375VG,STM32U375VGI6,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u375vg.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U375VG,STM32U375VGI6Q,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u375vg.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U375VG,STM32U375VGT6,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u375vg.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U375VG,STM32U375VGT6Q,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u375vg.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U375VG,STM32U375VGT6QTR,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u375vg.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U385CG,STM32U385CGT6,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u385cg.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U385CG,STM32U385CGT6Q,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u385cg.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U385CG,STM32U385CGU6,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u385cg.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U385CG,STM32U385CGU6Q,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u385cg.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U385CG,STM32U385CGY6QTR,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u385cg.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U385KG,STM32U385KGU6,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u385kg.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U385RG,STM32U385RGI6,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u385rg.html,2026-09-15,ST Quality & Reliability
