vendor,series,display_name,target_config,device_type,classification_status,part_number
NXP,LSCH3,Lsch3 Common,tcl/target/lsch3_common.cfg,SoC,Internal/helper,
Marvell,88F3710,88F3710,tcl/target/marvell/88f3710.cfg,SoC,Auto-classified,
Marvell,88F3720,88F3720,tcl/target/marvell/88f3720.cfg,SoC,Auto-classified,
Marvell,88F37X0,88F37X0,tcl/target/marvell/88f37x0.cfg,SoC,Auto-classified,
Marvell,CN9130,Cn9130,tcl/target/marvell/cn9130.cfg,SoC,Auto-classified,
Analog Devices,MAX32620,Max32620,tcl/target/max32620.cfg,MCU,Auto-classified,
Analog Devices,MAX32625,Max32625,tcl/target/max32625.cfg,MCU,Auto-classified,
Analog Devices,MAX3263,Max3263X,tcl/target/max3263x.cfg,MCU,Auto-classified,
Analog Devices,MAX32650,Max32650,tcl/target/max32650.cfg,MCU,Auto-classified,
Analog Devices,MAX32655,Max32655,tcl/target/max32655.cfg,MCU,Auto-classified,
Analog Devices,MAX32660,Max32660,tcl/target/max32660.cfg,MCU,Auto-classified,
Analog Devices,MAX32662,Max32662,tcl/target/max32662.cfg,MCU,Auto-classified,
Analog Devices,MAX32670,Max32670,tcl/target/max32670.cfg,MCU,Auto-classified,
Analog Devices,MAX32672,Max32672,tcl/target/max32672.cfg,MCU,Auto-classified,
Analog Devices,MAX32675,Max32675,tcl/target/max32675.cfg,MCU,Auto-classified,
Analog Devices,MAX32680,Max32680,tcl/target/max32680.cfg,MCU,Auto-classified,
Analog Devices,MAX32690,Max32690,tcl/target/max32690.cfg,MCU,Auto-classified,
Analog Devices,MAX32XXX,Max32Xxx Common,tcl/target/max32xxx_common.cfg,MCU,Internal/helper,
Unclassified,MC13224V,Mc13224V,tcl/target/mc13224v.cfg,Unknown,Needs review,
Unclassified,MDR32F9Q2I,Mdr32F9Q2I,tcl/target/mdr32f9q2i.cfg,Unknown,Needs review,
Microchip,MPFS,Mpfs,tcl/target/microchip/mpfs.cfg,MCU,Auto-classified,
Microchip,PIC64GX,Pic64Gx,tcl/target/microchip/pic64gx.cfg,MCU,Auto-classified,
Microchip,SAMA7D6,Sama7D6,tcl/target/microchip/sama7d6.cfg,MCU,Auto-classified,
Microchip,SAMA7G5,Sama7G5,tcl/target/microchip/sama7g5.cfg,MCU,Auto-classified,
Unclassified,NDS32V5,Nds32V5,tcl/target/nds32v5.cfg,Unknown,Internal/helper,
Unclassified,NETL XLP304,Netl Xlp304,tcl/target/netl_xlp304.cfg,Unknown,Needs review,
Unclassified,NETL XLP308,Netl Xlp308,tcl/target/netl_xlp308.cfg,Unknown,Needs review,
Unclassified,NETL XLP316,Netl Xlp316,tcl/target/netl_xlp316.cfg,Unknown,Needs review,
Unclassified,NETL XLP3XX,Netl Xlp3Xx,tcl/target/netl_xlp3xx.cfg,Unknown,Needs review,
Unclassified,NGULTRA,Ngultra,tcl/target/ngultra.cfg,Unknown,Needs review,
NXP,NHS31XX,Nhs31Xx,tcl/target/nhs31xx.cfg,MCU,Auto-classified,
Nordic Semiconductor,COMMON,Common,tcl/target/nordic/common.cfg,Wireless MCU,Auto-classified,
Nordic Semiconductor,NRF51,Nrf51,tcl/target/nordic/nrf51.cfg,Wireless MCU,Auto-classified,
