vendor,series,target_config,device_type,classification_status,capability_status,capability_reason,flash_drivers,flash_banks,include_graph,openocd_distribution,openocd_commit,validation_status
Microchip,AT91SAM4LX,tcl/target/at91sam4lXX.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""at91sam4l""]","[{""declaration_file"":""tcl/target/at91sam4lXX.cfg"",""bank"":""$_FLASHNAME"",""driver"":""at91sam4l"",""base"":""0x00000000""}]","[""tcl/target/at91sam4lXX.cfg"",""tcl/target/at91sam4XXX.cfg"",""tcl/target/swj-dp.tcl""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
Microchip,AT91SAM4SX,tcl/target/at91sam4sXX.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""at91sam4""]","[{""declaration_file"":""tcl/target/at91sam4sXX.cfg"",""bank"":""$_FLASHNAME"",""driver"":""at91sam4"",""base"":""0x00400000""}]","[""tcl/target/at91sam4sXX.cfg"",""tcl/target/at91sam4XXX.cfg"",""tcl/target/swj-dp.tcl""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
Microchip,AT91SAM4SD32X,tcl/target/at91sam4sd32x.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""at91sam4""]","[{""declaration_file"":""tcl/target/at91sam4sd32x.cfg"",""bank"":""$_FLASHNAME"",""driver"":""at91sam4"",""base"":""0x00400000""},{""declaration_file"":""tcl/target/at91sam4sd32x.cfg"",""bank"":""$_FLASHNAME"",""driver"":""at91sam4"",""base"":""0x00500000""}]","[""tcl/target/at91sam4sd32x.cfg"",""tcl/target/at91sam4XXX.cfg"",""tcl/target/swj-dp.tcl""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
Microchip,AT91SAM7SE512,tcl/target/at91sam7se512.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""at91sam7""]","[{""declaration_file"":""tcl/target/at91sam7se512.cfg"",""bank"":""$_FLASHNAME"",""driver"":""at91sam7"",""base"":""0""}]","[""tcl/target/at91sam7se512.cfg""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
Microchip,AT91SAM7SX,tcl/target/at91sam7sx.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""at91sam7""]","[{""declaration_file"":""tcl/target/at91sam7sx.cfg"",""bank"":""$_FLASHNAME"",""driver"":""at91sam7"",""base"":""0""}]","[""tcl/target/at91sam7sx.cfg""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
Microchip,AT91SAM7X256,tcl/target/at91sam7x256.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""at91sam7""]","[{""declaration_file"":""tcl/target/at91sam7x256.cfg"",""bank"":""$_FLASHNAME"",""driver"":""at91sam7"",""base"":""0""}]","[""tcl/target/at91sam7x256.cfg""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
Microchip,AT91SAM7X512,tcl/target/at91sam7x512.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""at91sam7""]","[{""declaration_file"":""tcl/target/at91sam7x512.cfg"",""bank"":""$_FLASHNAME.0"",""driver"":""at91sam7"",""base"":""0""},{""declaration_file"":""tcl/target/at91sam7x512.cfg"",""bank"":""$_FLASHNAME.1"",""driver"":""at91sam7"",""base"":""0""}]","[""tcl/target/at91sam7x512.cfg""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
Microchip,AT91SAM9260,tcl/target/at91sam9260_ext_RAM_ext_flash.cfg,MCU,Auto-classified,external_flash_only,Only an external/general-purpose Flash bank was resolved,"[""cfi""]","[{""declaration_file"":""tcl/target/at91sam9260_ext_RAM_ext_flash.cfg"",""bank"":""$_FLASHNAME"",""driver"":""cfi"",""base"":""0x10000000""}]","[""tcl/target/at91sam9260_ext_RAM_ext_flash.cfg"",""tcl/target/at91sam9261.cfg"",""tcl/target/at91sam9.cfg""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
Microchip,AT91SAMG5X,tcl/target/at91samg5x.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""at91sam4""]","[{""declaration_file"":""tcl/target/at91samg5x.cfg"",""bank"":""$_FLASHNAME"",""driver"":""at91sam4"",""base"":""0x00400000""}]","[""tcl/target/at91samg5x.cfg"",""tcl/target/at91sam4XXX.cfg"",""tcl/target/swj-dp.tcl""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
Microchip,ATMEGA128,tcl/target/atmega128.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""avr""]","[{""declaration_file"":""tcl/target/atmega128.cfg"",""bank"":""$_FLASHNAME"",""driver"":""avr"",""base"":""0""}]","[""tcl/target/atmega128.cfg""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
Microchip,ATMEGA128,tcl/target/atmega128rfa1.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""avr""]","[{""declaration_file"":""tcl/target/atmega128rfa1.cfg"",""bank"":""$_FLASHNAME"",""driver"":""avr"",""base"":""0""}]","[""tcl/target/atmega128rfa1.cfg""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
Microchip,ATMEGA32,tcl/target/atmega32u4.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""avr""]","[{""declaration_file"":""tcl/target/atmega32u4.cfg"",""bank"":""$_FLASHNAME"",""driver"":""avr"",""base"":""0""}]","[""tcl/target/atmega32u4.cfg""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
Microchip,PIC32MX,tcl/target/pic32mx.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""pic32mx"",""virtual""]","[{""declaration_file"":""tcl/target/pic32mx.cfg"",""bank"":""$_FLASHNAME"",""driver"":""pic32mx"",""base"":""0x1fc00000""},{""declaration_file"":""tcl/target/pic32mx.cfg"",""bank"":""vbank0"",""driver"":""virtual"",""base"":""0xbfc00000""},{""declaration_file"":""tcl/target/pic32mx.cfg"",""bank"":""vbank1"",""driver"":""virtual"",""base"":""0x9fc00000""},{""declaration_file"":""tcl/target/pic32mx.cfg"",""bank"":""$_FLASHNAME"",""driver"":""pic32mx"",""base"":""0x1d000000""},{""declaration_file"":""tcl/target/pic32mx.cfg"",""bank"":""vbank2"",""driver"":""virtual"",""base"":""0xbd000000""},{""declaration_file"":""tcl/target/pic32mx.cfg"",""bank"":""vbank3"",""driver"":""virtual"",""base"":""0x9d000000""}]","[""tcl/target/pic32mx.cfg""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
NXP,K1921VK01T,tcl/target/k1921vk01t.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""niietcm4""]","[{""declaration_file"":""tcl/target/k1921vk01t.cfg"",""bank"":""$_CHIPNAME.flash"",""driver"":""niietcm4"",""base"":""0""}]","[""tcl/target/k1921vk01t.cfg"",""tcl/target/swj-dp.tcl"",""tcl/mem_helper.tcl""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
NXP,K40,tcl/target/k40.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""kinetis""]","[{""declaration_file"":""tcl/target/kx.cfg"",""bank"":""$_FLASHNAME"",""driver"":""kinetis"",""base"":""0""}]","[""tcl/target/k40.cfg"",""tcl/target/kx.cfg"",""tcl/target/swj-dp.tcl""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
NXP,K60,tcl/target/k60.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""kinetis""]","[{""declaration_file"":""tcl/target/kx.cfg"",""bank"":""$_FLASHNAME"",""driver"":""kinetis"",""base"":""0""}]","[""tcl/target/k60.cfg"",""tcl/target/kx.cfg"",""tcl/target/swj-dp.tcl""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
NXP,KL25,tcl/target/kl25.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""kinetis""]","[{""declaration_file"":""tcl/target/klx.cfg"",""bank"":""$_FLASHNAME"",""driver"":""kinetis"",""base"":""0""}]","[""tcl/target/kl25.cfg"",""tcl/target/klx.cfg""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
NXP,LPC11,tcl/target/lpc11xx.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""lpc2000""]","[{""declaration_file"":""tcl/target/lpc1xxx.cfg"",""bank"":""$_FLASHNAME"",""driver"":""lpc2000"",""base"":""0x0""}]","[""tcl/target/lpc11xx.cfg"",""tcl/target/lpc1xxx.cfg"",""tcl/target/swj-dp.tcl""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
NXP,LPC12,tcl/target/lpc12xx.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""lpc2000""]","[{""declaration_file"":""tcl/target/lpc1xxx.cfg"",""bank"":""$_FLASHNAME"",""driver"":""lpc2000"",""base"":""0x0""}]","[""tcl/target/lpc12xx.cfg"",""tcl/target/lpc1xxx.cfg"",""tcl/target/swj-dp.tcl""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
NXP,LPC13,tcl/target/lpc13xx.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""lpc2000""]","[{""declaration_file"":""tcl/target/lpc1xxx.cfg"",""bank"":""$_FLASHNAME"",""driver"":""lpc2000"",""base"":""0x0""}]","[""tcl/target/lpc13xx.cfg"",""tcl/target/lpc1xxx.cfg"",""tcl/target/swj-dp.tcl""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
NXP,LPC17,tcl/target/lpc17xx.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""lpc2000""]","[{""declaration_file"":""tcl/target/lpc1xxx.cfg"",""bank"":""$_FLASHNAME"",""driver"":""lpc2000"",""base"":""0x0""}]","[""tcl/target/lpc17xx.cfg"",""tcl/target/lpc1xxx.cfg"",""tcl/target/swj-dp.tcl""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
NXP,LPC1XXX,tcl/target/lpc1xxx.cfg,MCU,Internal/helper,helper_or_alias,Common/base or bank-layout configuration; collapse into a customer target,"[""lpc2000""]","[{""declaration_file"":""tcl/target/lpc1xxx.cfg"",""bank"":""$_FLASHNAME"",""driver"":""lpc2000"",""base"":""0x0""}]","[""tcl/target/lpc1xxx.cfg"",""tcl/target/swj-dp.tcl""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
NXP,LPC21,tcl/target/lpc2103.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""lpc2000""]","[{""declaration_file"":""tcl/target/lpc2xxx.cfg"",""bank"":""$_FLASHNAME"",""driver"":""lpc2000"",""base"":""0x0""}]","[""tcl/target/lpc2103.cfg"",""tcl/target/lpc2xxx.cfg""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
NXP,LPC21,tcl/target/lpc2124.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""lpc2000""]","[{""declaration_file"":""tcl/target/lpc2xxx.cfg"",""bank"":""$_FLASHNAME"",""driver"":""lpc2000"",""base"":""0x0""}]","[""tcl/target/lpc2124.cfg"",""tcl/target/lpc2xxx.cfg""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
NXP,LPC21,tcl/target/lpc2129.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""lpc2000""]","[{""declaration_file"":""tcl/target/lpc2xxx.cfg"",""bank"":""$_FLASHNAME"",""driver"":""lpc2000"",""base"":""0x0""}]","[""tcl/target/lpc2129.cfg"",""tcl/target/lpc2xxx.cfg""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
NXP,LPC21,tcl/target/lpc2148.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""lpc2000""]","[{""declaration_file"":""tcl/target/lpc2xxx.cfg"",""bank"":""$_FLASHNAME"",""driver"":""lpc2000"",""base"":""0x0""}]","[""tcl/target/lpc2148.cfg"",""tcl/target/lpc2xxx.cfg""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
NXP,LPC22,tcl/target/lpc2294.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""lpc2000""]","[{""declaration_file"":""tcl/target/lpc2xxx.cfg"",""bank"":""$_FLASHNAME"",""driver"":""lpc2000"",""base"":""0x0""}]","[""tcl/target/lpc2294.cfg"",""tcl/target/lpc2xxx.cfg""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
NXP,LPC23,tcl/target/lpc2378.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""lpc2000""]","[{""declaration_file"":""tcl/target/lpc2xxx.cfg"",""bank"":""$_FLASHNAME"",""driver"":""lpc2000"",""base"":""0x0""}]","[""tcl/target/lpc2378.cfg"",""tcl/target/lpc2xxx.cfg""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
NXP,LPC24,tcl/target/lpc2460.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""lpc2000""]","[{""declaration_file"":""tcl/target/lpc2xxx.cfg"",""bank"":""$_FLASHNAME"",""driver"":""lpc2000"",""base"":""0x0""}]","[""tcl/target/lpc2460.cfg"",""tcl/target/lpc2xxx.cfg""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
NXP,LPC24,tcl/target/lpc2478.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""lpc2000""]","[{""declaration_file"":""tcl/target/lpc2xxx.cfg"",""bank"":""$_FLASHNAME"",""driver"":""lpc2000"",""base"":""0x0""}]","[""tcl/target/lpc2478.cfg"",""tcl/target/lpc2xxx.cfg""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
NXP,LPC29,tcl/target/lpc2900.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""lpc2900""]","[{""declaration_file"":""tcl/target/lpc2900.cfg"",""bank"":""$_FLASHNAME"",""driver"":""lpc2900"",""base"":""0""}]","[""tcl/target/lpc2900.cfg""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
NXP,LPC2XXX,tcl/target/lpc2xxx.cfg,MCU,Internal/helper,helper_or_alias,Common/base or bank-layout configuration; collapse into a customer target,"[""lpc2000""]","[{""declaration_file"":""tcl/target/lpc2xxx.cfg"",""bank"":""$_FLASHNAME"",""driver"":""lpc2000"",""base"":""0x0""}]","[""tcl/target/lpc2xxx.cfg""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
