vendor,part_number,identifier_kind,cpu_architectures,target_config,openocd_distribution,mapping_status,validation_status,catalog_origin
Artery,AT32F425F6P7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F425F8P7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F425K6T7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F425K6U7-4,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F425K8T7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F425K8U7-4,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F425R6T7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F425R6T7-7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F425R8T7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F425R8T7-7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F435CCT7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F435CCU7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F435CDT7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F435CDU7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F435RCT7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F435RDT7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F435VCT7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F435VDT7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F435ZCT7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F435ZDT7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F437RCT7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F437RDT7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F437VCT7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
